PROY0017_03	Perú	Respuestas	Excluido por negocio	XXX																	
PROY0028_06	España	Otros servicios no disponibles	Excluido por Timeout	XXX	Habían solicitado Cheques FIT		XML V3														
PROY0028_06	Portugal	Transferencias SEPA	Excluido por Timeout	SCT	Con pagos urgentes		XML V3														
PROY0028_06	Portugal	Transferencias SEPA	Excluido por Timeout	SCT			XML V3														
PROY0028_06	Portugal	Nóminas SEPA	Excluido por Timeout	SCN			XML V3														
PROY0029_01	Francia	Pago proveedores - Paris	Excluido por Timeout	PPF	Pagos, se quedaron en las pruebas de integrado, donde se vio que el cliente no enviaba con el nombre correcto se le insto a corregirlo y no sabemos mas		ETEBAC		10000000048	40983											
PROY0029_01	Francia	Pagos internacionales - Paris	Excluido por Timeout	TIF			ETEBAC		10000000048	40983											
PROY0029_02	Francia	Saldos y movimientos- ETEBAC	Implementado con OK	ETE	Implantado el cliente los recibe pero no arregla el ACK				10000000048	40953	40953			41041	41046	41066					
PROY0030_01	Portugal	Transferencias Domésticas	Implementado con OK	TRA		XML v.3	TEIS		41205001												
PROY0030_01	Portugal	Transferencias domésticas urgentes	Implementado con OK	TUG		XML v.3	TEIS		41205001												
PROY0030_01	Portugal	Transferencias internacionales	Implementado con OK	TIN		XML v.3	TEIS		41205001												
PROY0030_01	Portugal	Respuestas	Implementado con OK	XXX					41205001												
PROY0030_02	Portugal	Transferencias Domésticas	Implementado con OK	TRA		XML v.3	.TRA		41205001					41433	41437		41494				
PROY0030_02	Portugal	Transferencias internacionales	Implementado con OK	TIN	Cambio en el mapa dedicado	XML v.3	.TIN		41205001					41433	41437		41494				
PROY0030_02	Portugal	Respuestas	Implementado con OK	XXX	R_XML_V2. Cerrando especificaciones		R_XML v.2							41433	41437		41494				
PROY0030_03	Francia	SEPA París	Excluido por Timeout	SPF		XMLV3	SPF		10000000097									41603	41603		
PROY0030_03	Francia	Transferencias tesoreria - Paris	Excluido por Timeout	TTF		XMLV3	TTF		10000000097												
PROY0030_03	Francia	Respuestas	Excluido por Timeout	XXX	R_XML_V3																
PROY0030_03	Francia	Pagos internacionales - Paris	Excluido por Timeout	TIF		XMLV3	TIF		10000000097									41603	41603		
PROY0030_03	Reino Unido	Transferencias SEPA Londres	En Test - Aceptación	SPG		XMLV3	SPG		10000000097									41603	41650		
PROY0030_03	Reino Unido	Pagos internacionales londres	En Test - Aceptación	TIG		XMLV3	TIG		10000000097									41603	41650		
PROY0030_03	Reino Unido	Pagos chaps-tesoreria mismo día londres	En Test - Aceptación	TTG		XMLV3	TTG		10000000097												
PROY0030_03	Reino Unido	Respuestas	En Test - Aceptación	XXX	R_XML_V3		R_XML_V3														
PROY0030_03	Portugal	Transferencias SEPA	Implementado con OK	SCT		XMLV3	SCT							41622				41596	41650		
PROY0030_03	Portugal	Transferencias internacionales	Implementado con OK	TIN		XMLV3	TIN							41622							
PROY0030_03	Portugal	Transferencias SEPA	Implementado con OK	SCT	Movimientos Urgentes	XMLV3	SCT							41622				41596	41650		
PROY0030_03	Portugal	Respuestas dedicadas	Implementado con OK	XXX	R_XML_V3									41622							
PROY0030_03	Reino Unido	Pagos nacionales londres	En Test - Aceptación	PPG		XMLV3	PPG		10000000097												
PROY0030_04	España	Transferencias EUR (FIT)	Implementado con OK	FIT		XMLV3	FIT							41741							
PROY0030_04	España	Transferencias internacionales	Implementado con OK	TIN		XMLV3	TIN							41741							
PROY0030_04	España	Respuestas	Implementado con OK	XXX	R_XML_V3	XML_V3								41741							
PROY0030_04	España	Transferencias urgentes (OMF)	Excluido por Timeout	OMF		XMLV3	OMF														
